keggid,name,formula,pubchemID,smile,fp,cid
cpd:C00084,Acetaldehyde,C2H4O,3384,CC=O,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000001000100,177.0
cpd:C00469,Ethanol,C2H6O,3752,CCO,00000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000001000010000000000000000000000001000000000000010101001000100,702.0
cpd:C00068,Thiamin diphosphate,C12H19N4O7P2S,3368,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)OP(=O)(O)O,00000000000000000000000000000100000010100001000111000100000000000100010000010100110111001111000010101010001011001000101011101110101111011111101010111111010111111111110,1132.0
cpd:C00022,Pyruvate,C3H4O3,3324,CC(=O)C(=O)O,00000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000010000000000001001000000100000101001011000100,1060.0
cpd:C05125,2-(alpha-Hydroxyethyl)thiamine diphosphate,C14H23N4O8P2S,7546,CC1=C(SC(=[N+]1CC2=CN=C(N=C2N)C)C(C)O)CCOP(=O)(O)OP(=O)(O)O,00000000000000000000000000000100000010100001000111000100000000000100010000010100110111001111000110101010001011001000101011101110101111011111111010111111110111111111110,440568.0
cpd:C15972,Enzyme N6-(lipoyl)lysine,C8H14NOS2R,47205285,,,
cpd:C00024,Acetyl-CoA,C23H38N7O17P3S,3326,CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,00000000000000000000000000000100000000100001000010000110010000100110010010110101111111001111100111101110111011111001111011101111111111011111111100111111111111111111110,444493.0
cpd:C15973,Enzyme N6-(dihydrolipoyl)lysine,C8H16NOS2R,47205286,,,
cpd:C00074,Phosphoenolpyruvate,C3H5O6P,3374,C=C(C(=O)O)OP(=O)(O)O,00000000000000000000000000000100001000000001000010000000000000000000010010001000000000000000000000010010001000001000000000011010001100001001100000101000101001010000100,1005.0
cpd:C00631,2-Phospho-D-glycerate,C3H7O7P,3904,C([C@H](C(=O)O)OP(=O)(O)O)O,00000000000000000000000000000100000000000001000010000100000000000000010010000000001000000111000000000010001001001000000000011010001110001001100000101000111101010000100,439278.0
cpd:C00118,D-Glyceraldehyde 3-phosphate,C3H7O6P,3418,C([C@H](C=O)O)OP(=O)(O)O,00000000000000000000000000000100000000000001000010000000000000000000010010000000000000000110000000000010101001001000000000001010001110001001100000101000111101010000100,439168.0
cpd:C05378,"beta-D-Fructose 1,6-bisphosphate",C6H14O12P2,7752,C([C@@H]1[C@H]([C@@H]([C@](O1)(COP(=O)(O)O)O)O)O)OP(=O)(O)O,00000000000000000000000000000100000000000001000010000110010000000000010010000000000100000111000010000010101001001000000000011011101110001111100100101010110101010000110,10267.0
cpd:C00668,alpha-D-Glucose 6-phosphate,C6H13O9P,3937,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)OP(=O)(O)O,00000000000000000000000000000100000000000001000010000110010000000000010010000000000000000111000000100010001001001000000000011011001110000101100100101010110101010001110,439284.0
cpd:C01172,beta-D-Glucose 6-phosphate,C6H13O9P,4399,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)OP(=O)(O)O,00000000000000000000000000000100000000000001000010000110010000000000010010000000000000000111000000100010001001001000000000011011001110000101100100101010110101010001110,439427.0
cpd:C00221,beta-D-Glucose,C6H12O6,3521,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O,00000000000000000000000000000000000000000000000000000110010000000000000010000000001000000111000000100000000001000000000000010001000110000101100100100010110101010001110,64689.0
cpd:C00267,alpha-D-Glucose,C6H12O6,3565,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O,00000000000000000000000000000000000000000000000000000110010000000000000010000000001000000111000000100000000001000000000000010001000110000101100100100010110101010001110,79025.0
cpd:C00197,3-Phospho-D-glycerate,C3H7O7P,3497,C([C@H](C(=O)O)O)OP(=O)(O)O,00000000000000000000000000000100000000000001000010000010000000000000010010000000000000000110000000000010101001001000000000011010001110001001100000101000111101010000100,439183.0
cpd:C00036,Oxaloacetate,C4H4O5,3338,C(C(=O)C(=O)O)C(=O)O,00000000000000000000000000000000000000000000000000000000000000000000000010000000000000000110000000000000100000000000000000010000000110001001100000100000101101010000100,970.0
cpd:C00033,Acetate,C2H4O2,3335,CC(=O)O,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000001000000000000001001011000100,176.0
cpd:C16255,[Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine,C10H18NO2S2R,47205563,,,
cpd:C00236,3-Phospho-D-glyceroyl phosphate,C3H8O10P2,3535,C([C@H](C(=O)OP(=O)(O)O)O)OP(=O)(O)O,00000000000000000000000000000100000000000001000010000000000000000000010010000000000000000110000000000010101001001000000000011010001110001001100000101000111101010000100,439191.0
